Sedan|Nissan Altima|2018|Blue|25000|15000|Gasoline|2.5L|Automatic|32|5|4|3000|Used|1HGCM82633A123456|4|Sunroof|One previous owner, no accidents
Sedan|Toyota Camry|2020|Black|15000|20000|Gasoline|2.5L|Automatic|34|5|4|3200|Used|2HGFG12345A789012|5|Leather seats,Navigation system|Two previous owners, minor fender bender
Convertible|Ford Mustang|2022|Red|1000|35000|Gasoline|5.0L|Manual|19|4|2|3800|New|1FAFP90SX2F123456|5|Convertible top|Bluetooth connectivity|No previous owners
Electric|Tesla Model 3|2021|White|5000|40000|Electric|Not applicable|Automatic|130|5|4|4100|Used|5YJ3E1EB2MF123456|5|Enhanced Autopilot|Full self-driving capability|One previous owner, clean history
Sedan|Chevrolet Cruze|2017|Silver|35000|12000|Gasoline|1.4L|Automatic|28|5|4|2900|Used|3G1BE6SM5HS123456|3|Backup camera|Remote start|Two previous owners
Sedan|Honda Civic|2019|Gray|20000|18000|Gasoline|1.5L|CVT|36|5|4|2800|Used|2HGFC2F57KH123456|4|Apple CarPlay|Android Auto|One previous owner
SUV|BMW X5|2020|Black|10000|55000|Gasoline|3.0L|Automatic|26|5|4|4400|Used|5UXCR6C03L9B12345|5|Panoramic sunroof|Heated seats|One previous owner, lease return
Sedan|Audi A4|2021|White|5000|42000|Gasoline|2.0L|Automatic|30|5|4|3300|New|WAUENAF44MN123456|5|Virtual cockpit|Wireless charging|No previous owners
Pickup|Ford F-150|2019|Blue|15000|35000|Gasoline|5.0L|Automatic|22|6|4|5000|Used|1FTEW1E59KFA12345|4|Towing package|Bed liner|One previous owner
Sports|Chevrolet Corvette|2022|Red|1000|70000|Gasoline|6.2L|Automatic|25|2|2|3600|New|1G1Y82D40N5B12345|5|Performance exhaust|Heads-up display|No previous owners
Sedan|Hyundai Sonata|2018|Silver|30000|14000|Gasoline|2.4L|Automatic|31|5|4|3100|Used|5NPE24AF5JH123456|4|Blind-spot detection|Lane-keeping assist|One previous owner
Luxury|Mercedes-Benz E-Class|2021|Black|5000|60000|Gasoline|2.0L|Automatic|28|5|4|3900|Used|W1KZF8DB2MA123456|5|Burmester sound system|LED headlights|One previous owner
SUV|Jeep Wrangler|2019|Green|10000|32000|Gasoline|3.6L|Automatic|20|4|2|4100|Used|1C4HJWDG2EL123456|4|Removable top|Off-road capability|No previous owners
SUV|Lexus RX 350|2020|Silver|8000|45000|Gasoline|3.5L|Automatic|27|5|4|4300|Used|2T2BZMCA5LC123456|5|Leather seats|Power liftgate|One previous owner, lease return
Convertible|Ford Mustang|2022|Red|1000|35000|Gasoline|5.0L|Manual|19|4|2|3800|New|1FAFP90SX2F123456|5|Convertible top|Bluetooth connectivity|No previous owners
